dates,price,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
1/31/96,61596,63472,2282,14215,Zip,NY,NY,Buffalo,Buffalo-Cheektowaga-Niagara Falls,Erie County
2/29/96,61183,,,,,,,,,
3/31/96,60779,,,,,,,,,
4/30/96,60138,,,,,,,,,
5/31/96,59821,,,,,,,,,
6/30/96,59818,,,,,,,,,
7/31/96,59784,,,,,,,,,
8/31/96,59599,,,,,,,,,
9/30/96,59255,,,,,,,,,
10/31/96,58918,,,,,,,,,
11/30/96,58483,,,,,,,,,
12/31/96,58151,,,,,,,,,
1/31/97,57642,,,,,,,,,
2/28/97,57353,,,,,,,,,
3/31/97,57134,,,,,,,,,
4/30/97,57042,,,,,,,,,
5/31/97,56589,,,,,,,,,
6/30/97,55791,,,,,,,,,
7/31/97,55122,,,,,,,,,
8/31/97,54870,,,,,,,,,
9/30/97,54757,,,,,,,,,
10/31/97,54803,,,,,,,,,
11/30/97,54659,,,,,,,,,
12/31/97,54637,,,,,,,,,
1/31/98,54698,,,,,,,,,
2/28/98,54831,,,,,,,,,
3/31/98,55012,,,,,,,,,
4/30/98,54950,,,,,,,,,
5/31/98,55043,,,,,,,,,
6/30/98,54990,,,,,,,,,
7/31/98,54689,,,,,,,,,
8/31/98,53913,,,,,,,,,
9/30/98,53295,,,,,,,,,
10/31/98,52733,,,,,,,,,
11/30/98,52804,,,,,,,,,
12/31/98,52476,,,,,,,,,
1/31/99,52466,,,,,,,,,
2/28/99,52268,,,,,,,,,
3/31/99,52184,,,,,,,,,
4/30/99,52074,,,,,,,,,
5/31/99,51520,,,,,,,,,
6/30/99,51306,,,,,,,,,
7/31/99,51613,,,,,,,,,
8/31/99,52443,,,,,,,,,
9/30/99,53332,,,,,,,,,
10/31/99,53553,,,,,,,,,
11/30/99,53680,,,,,,,,,
12/31/99,53938,,,,,,,,,
1/31/00,54109,,,,,,,,,
2/29/00,54159,,,,,,,,,
3/31/00,54117,,,,,,,,,
4/30/00,54607,,,,,,,,,
5/31/00,55573,,,,,,,,,
6/30/00,56528,,,,,,,,,
7/31/00,56565,,,,,,,,,
8/31/00,56150,,,,,,,,,
9/30/00,55387,,,,,,,,,
10/31/00,55656,,,,,,,,,
11/30/00,55399,,,,,,,,,
12/31/00,55546,,,,,,,,,
1/31/01,55081,,,,,,,,,
2/28/01,55044,,,,,,,,,
3/31/01,54747,,,,,,,,,
4/30/01,54344,,,,,,,,,
5/31/01,54322,,,,,,,,,
6/30/01,54669,,,,,,,,,
7/31/01,55419,,,,,,,,,
8/31/01,56211,,,,,,,,,
9/30/01,56281,,,,,,,,,
10/31/01,55859,,,,,,,,,
11/30/01,55280,,,,,,,,,
12/31/01,54594,,,,,,,,,
1/31/02,54201,,,,,,,,,
2/28/02,53949,,,,,,,,,
3/31/02,54347,,,,,,,,,
4/30/02,54251,,,,,,,,,
5/31/02,53527,,,,,,,,,
6/30/02,52149,,,,,,,,,
7/31/02,50960,,,,,,,,,
8/31/02,49372,,,,,,,,,
9/30/02,48480,,,,,,,,,
10/31/02,48083,,,,,,,,,
11/30/02,48800,,,,,,,,,
12/31/02,49378,,,,,,,,,
1/31/03,50021,,,,,,,,,
2/28/03,50381,,,,,,,,,
3/31/03,49861,,,,,,,,,
4/30/03,49667,,,,,,,,,
5/31/03,48739,,,,,,,,,
6/30/03,48212,,,,,,,,,
7/31/03,47451,,,,,,,,,
8/31/03,48200,,,,,,,,,
9/30/03,49644,,,,,,,,,
10/31/03,50333,,,,,,,,,
11/30/03,49617,,,,,,,,,
12/31/03,48802,,,,,,,,,
1/31/04,48256,,,,,,,,,
2/29/04,47581,,,,,,,,,
3/31/04,47144,,,,,,,,,
4/30/04,46661,,,,,,,,,
5/31/04,47358,,,,,,,,,
6/30/04,48004,,,,,,,,,
7/31/04,48473,,,,,,,,,
8/31/04,47845,,,,,,,,,
9/30/04,46698,,,,,,,,,
10/31/04,46392,,,,,,,,,
11/30/04,46996,,,,,,,,,
12/31/04,47676,,,,,,,,,
1/31/05,47774,,,,,,,,,
2/28/05,47766,,,,,,,,,
3/31/05,48118,,,,,,,,,
4/30/05,48604,,,,,,,,,
5/31/05,48767,,,,,,,,,
6/30/05,48728,,,,,,,,,
7/31/05,49097,,,,,,,,,
8/31/05,49472,,,,,,,,,
9/30/05,49859,,,,,,,,,
10/31/05,49561,,,,,,,,,
11/30/05,49437,,,,,,,,,
12/31/05,49292,,,,,,,,,
1/31/06,49825,,,,,,,,,
2/28/06,50972,,,,,,,,,
3/31/06,51992,,,,,,,,,
4/30/06,52939,,,,,,,,,
5/31/06,53605,,,,,,,,,
6/30/06,54505,,,,,,,,,
7/31/06,55346,,,,,,,,,
8/31/06,56478,,,,,,,,,
9/30/06,57580,,,,,,,,,
10/31/06,58797,,,,,,,,,
11/30/06,59303,,,,,,,,,
12/31/06,59964,,,,,,,,,
1/31/07,60217,,,,,,,,,
2/28/07,60442,,,,,,,,,
3/31/07,60124,,,,,,,,,
4/30/07,59666,,,,,,,,,
5/31/07,59189,,,,,,,,,
6/30/07,58968,,,,,,,,,
7/31/07,58768,,,,,,,,,
8/31/07,58504,,,,,,,,,
9/30/07,57851,,,,,,,,,
10/31/07,57308,,,,,,,,,
11/30/07,57050,,,,,,,,,
12/31/07,56381,,,,,,,,,
1/31/08,55634,,,,,,,,,
2/29/08,54126,,,,,,,,,
3/31/08,53469,,,,,,,,,
4/30/08,53087,,,,,,,,,
5/31/08,53203,,,,,,,,,
6/30/08,52767,,,,,,,,,
7/31/08,51850,,,,,,,,,
8/31/08,50634,,,,,,,,,
9/30/08,49671,,,,,,,,,
10/31/08,48918,,,,,,,,,
11/30/08,48324,,,,,,,,,
12/31/08,48403,,,,,,,,,
1/31/09,48496,,,,,,,,,
2/28/09,48851,,,,,,,,,
3/31/09,48782,,,,,,,,,
4/30/09,48237,,,,,,,,,
5/31/09,47704,,,,,,,,,
6/30/09,47064,,,,,,,,,
7/31/09,47082,,,,,,,,,
8/31/09,47219,,,,,,,,,
9/30/09,47793,,,,,,,,,
10/31/09,47961,,,,,,,,,
11/30/09,47892,,,,,,,,,
12/31/09,47041,,,,,,,,,
1/31/10,46328,,,,,,,,,
2/28/10,45631,,,,,,,,,
3/31/10,45417,,,,,,,,,
4/30/10,45833,,,,,,,,,
5/31/10,45964,,,,,,,,,
6/30/10,46154,,,,,,,,,
7/31/10,45953,,,,,,,,,
8/31/10,45771,,,,,,,,,
9/30/10,45260,,,,,,,,,
10/31/10,44700,,,,,,,,,
11/30/10,44410,,,,,,,,,
12/31/10,44481,,,,,,,,,
1/31/11,44780,,,,,,,,,
2/28/11,45149,,,,,,,,,
3/31/11,44916,,,,,,,,,
4/30/11,44336,,,,,,,,,
5/31/11,43739,,,,,,,,,
6/30/11,43676,,,,,,,,,
7/31/11,43452,,,,,,,,,
8/31/11,43238,,,,,,,,,
9/30/11,42951,,,,,,,,,
10/31/11,43101,,,,,,,,,
11/30/11,43163,,,,,,,,,
12/31/11,43088,,,,,,,,,
1/31/12,42707,,,,,,,,,
2/29/12,42472,,,,,,,,,
3/31/12,42423,,,,,,,,,
4/30/12,42139,,,,,,,,,
5/31/12,41967,,,,,,,,,
6/30/12,41694,,,,,,,,,
7/31/12,41779,,,,,,,,,
8/31/12,42160,,,,,,,,,
9/30/12,42438,,,,,,,,,
10/31/12,42834,,,,,,,,,
11/30/12,42732,,,,,,,,,
12/31/12,42770,,,,,,,,,
1/31/13,42452,,,,,,,,,
2/28/13,42029,,,,,,,,,
3/31/13,41692,,,,,,,,,
4/30/13,42033,,,,,,,,,
5/31/13,42340,,,,,,,,,
6/30/13,42384,,,,,,,,,
7/31/13,42278,,,,,,,,,
8/31/13,42048,,,,,,,,,
9/30/13,41963,,,,,,,,,
10/31/13,41539,,,,,,,,,
11/30/13,41562,,,,,,,,,
12/31/13,41747,,,,,,,,,
1/31/14,42511,,,,,,,,,
2/28/14,43102,,,,,,,,,
3/31/14,43630,,,,,,,,,
4/30/14,43465,,,,,,,,,
5/31/14,43550,,,,,,,,,
6/30/14,43742,,,,,,,,,
7/31/14,44113,,,,,,,,,
8/31/14,44405,,,,,,,,,
9/30/14,44820,,,,,,,,,
10/31/14,45156,,,,,,,,,
11/30/14,45543,,,,,,,,,
12/31/14,45666,,,,,,,,,
1/31/15,45626,,,,,,,,,
2/28/15,45739,,,,,,,,,
3/31/15,46102,,,,,,,,,
4/30/15,46729,,,,,,,,,
5/31/15,46978,,,,,,,,,
6/30/15,47128,,,,,,,,,
7/31/15,47347,,,,,,,,,
8/31/15,47465,,,,,,,,,
9/30/15,47443,,,,,,,,,
10/31/15,47501,,,,,,,,,
11/30/15,47681,,,,,,,,,
12/31/15,47855,,,,,,,,,
1/31/16,47999,,,,,,,,,
2/29/16,48238,,,,,,,,,
3/31/16,48190,,,,,,,,,
4/30/16,48253,,,,,,,,,
5/31/16,48287,,,,,,,,,
6/30/16,48536,,,,,,,,,
7/31/16,48284,,,,,,,,,
8/31/16,48086,,,,,,,,,
9/30/16,47912,,,,,,,,,
10/31/16,47874,,,,,,,,,
11/30/16,47658,,,,,,,,,
12/31/16,47678,,,,,,,,,
1/31/17,47989,,,,,,,,,
2/28/17,48299,,,,,,,,,
3/31/17,48353,,,,,,,,,
4/30/17,48276,,,,,,,,,
5/31/17,48491,,,,,,,,,
6/30/17,48893,,,,,,,,,
7/31/17,49626,,,,,,,,,
8/31/17,50495,,,,,,,,,
9/30/17,51231,,,,,,,,,
10/31/17,51932,,,,,,,,,
11/30/17,52578,,,,,,,,,
12/31/17,53275,,,,,,,,,
1/31/18,53737,,,,,,,,,
2/28/18,54083,,,,,,,,,
3/31/18,54909,,,,,,,,,
4/30/18,55973,,,,,,,,,
5/31/18,57044,,,,,,,,,
6/30/18,57817,,,,,,,,,
7/31/18,58622,,,,,,,,,
8/31/18,59236,,,,,,,,,
9/30/18,59955,,,,,,,,,
10/31/18,60645,,,,,,,,,
11/30/18,61258,,,,,,,,,
12/31/18,61719,,,,,,,,,
1/31/19,62290,,,,,,,,,
2/28/19,63124,,,,,,,,,
3/31/19,64171,,,,,,,,,
4/30/19,64475,,,,,,,,,
5/31/19,64909,,,,,,,,,
6/30/19,65095,,,,,,,,,
7/31/19,65393,,,,,,,,,
8/31/19,65523,,,,,,,,,
9/30/19,65494,,,,,,,,,
10/31/19,65595,,,,,,,,,
11/30/19,65862,,,,,,,,,
12/31/19,66293,,,,,,,,,
1/31/20,66732,,,,,,,,,
2/29/20,67088,,,,,,,,,
3/31/20,67155,,,,,,,,,
4/30/20,67793,,,,,,,,,
5/31/20,68339,,,,,,,,,
6/30/20,69293,,,,,,,,,
7/31/20,70184,,,,,,,,,
8/31/20,71386,,,,,,,,,
9/30/20,72811,,,,,,,,,
10/31/20,74294,,,,,,,,,